id;identification;phone;status
1;productivity;328.231.3170 x037;Enabled
2;innovative Producer Legacy;1-202-664-9533;Pending
3;synthesize input;(771) 576-5021;Disabled
4;Harbor optimize;1-509-385-2116 x37522;Disabled
5;connect Fantastic;381.826.3262;Enabled
6;deposit Canyon Home;213-355-2986 x475;Pending
7;overriding parsing;632.783.0958 x7550;Disabled
8;Investment Account ubiquitous;1-787-789-2564 x67209;Enabled
9;Botswana Rubber convergence;515.520.3466 x142;Pending
10;Agent California;1-348-628-5898 x4221;Disabled
